titulo;enunciado;alt_a;alt_b;alt_c;alt_d;alt_e;correta;tipo-questao
"Expo Router - Navegação";"Analise o código:\n\nimport { useNavigation } from 'expo-router';\nconst navigation = useNavigation();\nnavigation.navigate('perfil');\n\nIdentifique o erro principal e escreva como ele deve ser corrigido em um projeto Expo Router.";;;;;;"Uso incorreto de navigation.navigate. Deve utilizar router.push('/perfil').";"Resposta curta"
"useState - Atualização";"Analise o código:\n\nconst [contador, setContador] = useState(0);\n\nconst incrementar = () => {\n contador = contador + 1;\n};\n\nIdentifique o erro presente no código.";;;;;;"Estado alterado diretamente sem utilizar setContador.";"Resposta curta"
"useEffect - Dependências";"Analise o código:\n\nuseEffect(() => {\n buscarUsuarios();\n});\n\nA função buscarUsuarios executa setUsuarios(...).\n\nQual erro esse código pode causar?";;;;;;"Loop de renderizações por ausência do array de dependências.";"Resposta curta"
"FlatList - Refresh";"Analise o código:\n\n<FlatList\n data={usuarios}\n onRefresh={atualizarLista}\n/>\n\nQual propriedade obrigatória está faltando para o Pull To Refresh funcionar corretamente?";;;;;;"refreshing";"Resposta curta"
"FlashList - Desempenho";"Analise o código:\n\n<FlashList\n data={usuarios}\n renderItem={renderItem}\n/>\n\nQual propriedade recomendada pela FlashList está faltando?";;;;;;"estimatedItemSize";"Resposta curta"
"FlatList - renderItem";"Analise o código:\n\nrenderItem={(item) => (\n <Text>{item.nome}</Text>\n)}\n\nQual é o erro presente nesse trecho?";;;;;;"renderItem recebe um objeto e deveria acessar item através de ({ item }).";"Resposta curta"
"AsyncStorage";"Analise o código:\n\nAsyncStorage.setItem('usuario', {\n nome: 'Ana'\n});\n\nQual é o problema?";;;;;;"Objetos devem ser convertidos para string usando JSON.stringify.";"Resposta curta"
"TextInput";"Analise o código:\n\n<TextInput\n value={nome}\n/>\n\nQual funcionalidade está faltando para permitir a edição do campo?";;;;;;"onChangeText";"Resposta curta"
"Imagem Local";"Analise o código:\n\n<Image source='./assets/logo.png' />\n\nComo esse código deveria carregar uma imagem local corretamente?";;;;;;"source={require('./assets/logo.png')}";"Resposta curta"
"React Navigation";"Analise o código:\n\n<Stack.Navigator>\n <Stack.Screen name='Home' component={Home} />\n</Stack.Navigator>\n\nQual componente obrigatório está faltando para funcionamento correto do React Navigation?";;;;;;"NavigationContainer";"Resposta curta"
"Expo Router e React Navigation";"Analise o cenário: uma IA gerou um projeto Expo Router e adicionou manualmente um NavigationContainer envolvendo todas as telas. Explique por que isso é um erro e quais problemas podem ocorrer.";;;;;;"";"Dissertação"
"useEffect e API";"Analise o código:\n\nuseEffect(() => {\n carregarDados();\n});\n\nasync function carregarDados(){\n const dados = await api.get('/usuarios');\n setUsuarios(dados.data);\n}\n\nExplique detalhadamente o comportamento desse código durante a execução.";;;;;;"";"Dissertação"
"FlashList";"A FlashList suporta as propriedades refreshing e onRefresh para implementação de Pull To Refresh.";"";"";"";"";"";"Verdadeiro";"Verdadeiro/Falso"
"useState";"O código contador = contador + 1 é a forma recomendada de atualizar estados criados com useState.";"";"";"";"";"";"Falso";"Verdadeiro/Falso"
"Expo Router";"Em projetos Expo Router, a navegação baseada em router.push() é normalmente preferida em relação à criação manual de rotas com NavigationContainer.";"";"";"";"";"";"Verdadeiro";"Verdadeiro/Falso"
